City,Kategorie,Typ,Stav objektu,Konstrukce,Vlastnictví,Užitná plocha od,Užitná plocha do,V okolí,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
Benešov,Prodej,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,11.0,9.0,12.0,11.0,11.0,12.0,11.0,11.0,19.0,16.0,11.0,10.0,20.0,18.0,15.0,10.0,17.0,26.0,13.0,20.0,20.0,28.0,19.0,30.0,33.0,57.0,38.0,38.0,29.0,27.0,30.0,44.0,34.0,26.0,33.0,32.0,77.0,46.0,35.0,37.0,29.0,32.0,26.0,25.0,44.0,53.0,38.0,29.0,32.0,34.0,36.0,39.0,45.0,36.0,35.0,60.0,44.0,34.0,37.0,46.0,87.0,58.0,56.0,23.0,56.0,48.0,57.0,62.0,97.0,36.0,47.0,87.0,69.0,177.0,125.0,96.0,190.0,115.0,66.0,67.0,71.0,60.0,81.0,70.0,64.0,106.0,74.0,57.0,46.0,53.0,45.0,47.0,35.0,46.0,35.0,77.0,48.0,56.0,36.0,31.0,38.0,35.0,30.0,31.0,31.0,32.0,52.0,50.0,44.0,58.0,49.0,54.0,72.0,70.0,52.0,75.0,73.0,84.0,71.0,84.0,107.0,88.0,135.0,88.0,90.0,78.0,72.0,72.0,120.0,146.0,181.0,75.0
Kolín,Prodej,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,26.0,24.0,25.0,32.0,23.0,25.0,18.0,22.0,23.0,24.0,28.0,23.0,28.0,37.0,29.0,45.0,27.0,24.0,25.0,24.0,29.0,32.0,35.0,33.0,47.0,71.0,58.0,47.0,39.0,36.0,32.0,56.0,32.0,43.0,34.0,36.0,81.0,55.0,42.0,51.0,43.0,49.0,44.0,41.0,56.0,69.0,64.0,39.0,61.0,69.0,67.0,58.0,53.0,53.0,53.0,64.0,86.0,78.0,88.0,102.0,147.0,114.0,133.0,118.0,90.0,73.0,82.0,61.0,85.0,89.0,99.0,108.0,103.0,149.0,259.0,144.0,164.0,122.0,122.0,123.0,100.0,90.0,75.0,58.0,127.0,98.0,100.0,192.0,66.0,69.0,54.0,45.0,36.0,41.0,47.0,48.0,51.0,45.0,43.0,44.0,47.0,49.0,47.0,48.0,43.0,49.0,58.0,46.0,62.0,68.0,54.0,93.0,82.0,74.0,73.0,80.0,104.0,133.0,109.0,110.0,144.0,157.0,155.0,112.0,106.0,105.0,148.0,160.0,148.0,207.0,173.0,117.0
Kralupy nad Vltavou,Prodej,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,13.0,15.0,20.0,17.0,17.0,18.0,14.0,16.0,16.0,20.0,21.0,17.0,29.0,35.0,40.0,38.0,34.0,31.0,37.0,39.0,37.0,43.0,45.0,32.0,53.0,71.0,68.0,50.0,59.0,44.0,60.0,71.0,87.0,54.0,53.0,51.0,92.0,65.0,51.0,46.0,42.0,42.0,52.0,63.0,57.0,64.0,40.0,29.0,79.0,68.0,53.0,65.0,75.0,48.0,69.0,55.0,57.0,50.0,55.0,66.0,113.0,116.0,89.0,87.0,97.0,49.0,153.0,113.0,122.0,101.0,79.0,63.0,156.0,132.0,125.0,120.0,144.0,81.0,135.0,77.0,159.0,132.0,124.0,74.0,73.0,91.0,69.0,81.0,53.0,51.0,50.0,46.0,48.0,40.0,46.0,46.0,54.0,54.0,45.0,47.0,45.0,48.0,46.0,50.0,35.0,63.0,56.0,41.0,53.0,70.0,68.0,71.0,106.0,106.0,74.0,81.0,80.0,90.0,102.0,103.0,144.0,137.0,118.0,120.0,104.0,86.0,156.0,107.0,192.0,138.0,167.0,188.0
Mnichovo Hradiště,Prodej,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,18.0,29.0,29.0,19.0,27.0,17.0,14.0,14.0,55.0,25.0,33.0,15.0,45.0,43.0,90.0,40.0,32.0,69.0,30.0,47.0,31.0,54.0,,,,,95.0,53.0,29.0,25.0,46.0,50.0,29.0,23.0,32.0,32.0,96.0,59.0,42.0,62.0,52.0,44.0,31.0,48.0,60.0,40.0,35.0,34.0,37.0,40.0,29.0,40.0,40.0,68.0,35.0,43.0,46.0,39.0,,61.0,101.0,129.0,75.0,57.0,87.0,52.0,43.0,36.0,117.0,62.0,139.0,93.0,,135.0,,,116.0,,,152.0,151.0,184.0,120.0,79.0,131.0,69.0,61.0,60.0,59.0,51.0,48.0,52.0,31.0,32.0,65.0,37.0,46.0,39.0,35.0,77.0,39.0,33.0,32.0,51.0,31.0,113.0,61.0,30.0,68.0,38.0,67.0,44.0,,,,320.0,95.0,81.0,113.0,96.0,114.0,87.0,136.0,89.0,86.0,59.0,85.0,86.0,117.0,71.0,69.0,73.0
Nepomuk,Prodej,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,5.0,5.0,7.0,7.0,5.0,6.0,6.0,8.0,5.0,5.0,6.0,4.0,12.0,14.0,9.0,9.0,13.0,11.0,10.0,14.0,16.0,16.0,13.0,24.0,24.0,41.0,22.0,13.0,13.0,14.0,13.0,29.0,17.0,18.0,22.0,25.0,64.0,,31.0,25.0,41.0,32.0,33.0,28.0,45.0,34.0,22.0,24.0,29.0,52.0,39.0,29.0,,,,,,,46.0,33.0,38.0,38.0,30.0,49.0,47.0,30.0,30.0,87.0,,,,44.0,47.0,,,,,,,,,,,,,196.0,117.0,72.0,38.0,37.0,33.0,31.0,22.0,26.0,22.0,26.0,30.0,31.0,35.0,26.0,28.0,25.0,25.0,30.0,28.0,26.0,30.0,24.0,40.0,46.0,42.0,60.0,55.0,57.0,58.0,58.0,69.0,83.0,82.0,76.0,65.0,106.0,54.0,68.0,67.0,70.0,,,,,131.0,59.0
Opava,Prodej,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,13.0,12.0,13.0,12.0,12.0,17.0,11.0,11.0,15.0,16.0,13.0,11.0,20.0,18.0,22.0,33.0,30.0,27.0,26.0,27.0,24.0,28.0,24.0,21.0,33.0,56.0,42.0,40.0,34.0,27.0,23.0,41.0,41.0,42.0,38.0,37.0,63.0,69.0,55.0,41.0,40.0,31.0,30.0,54.0,44.0,40.0,36.0,28.0,36.0,36.0,35.0,31.0,39.0,27.0,38.0,40.0,43.0,46.0,42.0,51.0,58.0,56.0,57.0,51.0,55.0,65.0,65.0,66.0,85.0,89.0,112.0,56.0,120.0,227.0,221.0,149.0,113.0,62.0,75.0,86.0,79.0,92.0,110.0,84.0,109.0,64.0,67.0,76.0,43.0,49.0,41.0,43.0,32.0,29.0,31.0,37.0,40.0,63.0,38.0,41.0,38.0,34.0,34.0,50.0,42.0,41.0,41.0,33.0,54.0,67.0,63.0,58.0,69.0,66.0,58.0,70.0,74.0,130.0,91.0,93.0,126.0,118.0,136.0,96.0,103.0,92.0,107.0,210.0,136.0,90.0,61.0,76.0
Pelhřimov,Prodej,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,15.0,22.0,9.0,24.0,25.0,12.0,8.0,16.0,26.0,14.0,18.0,16.0,15.0,15.0,12.0,16.0,33.0,33.0,18.0,,,,,,,67.0,51.0,34.0,21.0,,,,72.0,40.0,56.0,45.0,64.0,46.0,60.0,60.0,25.0,62.0,11.0,5.0,56.0,33.0,29.0,34.0,33.0,27.0,49.0,24.0,39.0,24.0,31.0,36.0,45.0,45.0,26.0,49.0,58.0,36.0,,73.0,45.0,32.0,73.0,56.0,36.0,,,30.0,,74.0,42.0,82.0,107.0,88.0,74.0,108.0,60.0,73.0,,59.0,35.0,72.0,44.0,68.0,45.0,66.0,52.0,54.0,38.0,44.0,35.0,42.0,39.0,32.0,44.0,36.0,42.0,39.0,55.0,41.0,27.0,29.0,42.0,35.0,87.0,45.0,57.0,76.0,55.0,70.0,59.0,56.0,88.0,136.0,203.0,119.0,,171.0,93.0,,122.0,70.0,74.0,128.0,150.0,197.0,165.0,59.0
městská část břevnov,Prodej,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,43.0,53.0,35.0,56.0,22.0,25.0,55.0,40.0,26.0,29.0,26.0,41.0,38.0,75.0,125.0,133.0,74.0,78.0,91.0,64.0,142.0,77.0,61.0,55.0,32.0,73.0,80.0,53.0,70.0,67.0,33.0,98.0,94.0,71.0,111.0,69.0,202.0,139.0,103.0,153.0,122.0,134.0,105.0,113.0,133.0,94.0,84.0,72.0,55.0,35.0,40.0,44.0,85.0,150.0,52.0,60.0,73.0,45.0,91.0,82.0,157.0,167.0,119.0,164.0,179.0,60.0,,217.0,321.0,541.0,162.0,166.0,,430.0,145.0,256.0,204.0,122.0,76.0,149.0,146.0,169.0,167.0,133.0,265.0,209.0,150.0,170.0,76.0,82.0,78.0,76.0,91.0,77.0,99.0,55.0,86.0,47.0,49.0,151.0,105.0,70.0,84.0,68.0,214.0,84.0,155.0,89.0,89.0,115.0,179.0,76.0,106.0,109.0,161.0,140.0,117.0,152.0,162.0,104.0,129.0,127.0,245.0,281.0,139.0,182.0,168.0,,,344.0,362.0,101.0
městská část chodov,Prodej,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,56.0,96.0,59.0,57.0,55.0,57.0,42.0,37.0,59.0,53.0,47.0,38.0,77.0,70.0,62.0,58.0,70.0,70.0,72.0,70.0,67.0,62.0,59.0,38.0,81.0,96.0,68.0,55.0,53.0,49.0,45.0,76.0,90.0,101.0,105.0,109.0,149.0,125.0,100.0,113.0,106.0,105.0,107.0,115.0,117.0,82.0,92.0,61.0,67.0,83.0,66.0,67.0,89.0,62.0,63.0,74.0,91.0,116.0,113.0,90.0,212.0,180.0,148.0,119.0,160.0,150.0,143.0,156.0,163.0,150.0,153.0,155.0,144.0,221.0,204.0,245.0,189.0,203.0,161.0,170.0,168.0,216.0,185.0,158.0,222.0,209.0,159.0,185.0,99.0,107.0,85.0,66.0,59.0,68.0,71.0,54.0,76.0,53.0,62.0,52.0,62.0,58.0,61.0,66.0,66.0,83.0,72.0,64.0,101.0,116.0,104.0,102.0,90.0,94.0,113.0,113.0,113.0,147.0,126.0,117.0,179.0,199.0,177.0,196.0,147.0,148.0,146.0,217.0,245.0,258.0,198.0,165.0
Říčany,Prodej,Byty,Velmi dobrý,Panel,Osobní,30,80,nezadáno,16.0,19.0,18.0,21.0,15.0,20.0,23.0,20.0,28.0,30.0,19.0,16.0,39.0,37.0,34.0,32.0,44.0,44.0,24.0,30.0,32.0,36.0,34.0,30.0,42.0,56.0,40.0,26.0,23.0,25.0,22.0,60.0,43.0,41.0,57.0,34.0,71.0,49.0,57.0,50.0,53.0,42.0,43.0,48.0,46.0,59.0,47.0,31.0,38.0,38.0,47.0,83.0,63.0,43.0,45.0,114.0,75.0,64.0,69.0,73.0,87.0,93.0,54.0,136.0,199.0,72.0,90.0,69.0,118.0,80.0,59.0,68.0,80.0,83.0,117.0,80.0,49.0,114.0,83.0,88.0,57.0,57.0,59.0,49.0,53.0,46.0,78.0,61.0,42.0,52.0,41.0,35.0,39.0,40.0,51.0,62.0,50.0,62.0,75.0,36.0,60.0,43.0,55.0,56.0,32.0,40.0,54.0,49.0,61.0,121.0,68.0,54.0,68.0,63.0,,92.0,105.0,90.0,70.0,155.0,145.0,142.0,91.0,153.0,,,,245.0,176.0,92.0,118.0,116.0
